iata_code,name,latitude_deg,longitude_deg,home_link
YLC,Kimmirut Airport,62.8499984741,-69.8833007812,
YLH,Lansdowne House Airport,52.1955986022949,-87.934196472168,
YSG,Lutselk'e Airport,62.418303,-110.681998,
YLL,Lloydminster Airport,53.3092002868652,-110.072998046875,
XGR,Kangiqsualujjuaq (Georges River) Airport,58.7113990783691,-65.9927978515625,
YLW,Kelowna International Airport,49.9561004639,-119.377998352,http://www.kelowna.ca/CM/Page68.aspx
YMH,Mary's Harbour Airport,52.3027992248535,-55.8471984863281,
YMM,Fort McMurray Airport,56.653301239,-111.222000122,
YMO,Moosonee Airport,51.2910995483398,-80.6078033447266,
YMT,Chapais Airport,49.771900177002,-74.5280990600586,
YUD,Umiujaq Airport,56.5360984802246,-76.5183029174805,
YNA,Natashquan Airport,50.189998626709,-61.7891998291016,
YNC,Wemindji Airport,53.0106010437012,-78.8311004638672,
YNE,Norway House Airport,53.9583015441895,-97.8442001342773,
YNL,Points North Landing Airport,58.2766990661621,-104.082000732422,
YOC,Old Crow Airport,67.5706024169922,-139.839004516602,
YOH,Oxford House Airport,54.9333000183106,-95.2789001464844,
YOJ,High Level Airport,58.6213989257813,-117.165000915527,
YOP,Rainbow Lake Airport,58.4914016723633,-119.407997131348,
YOW,Ottawa Macdonald-Cartier International Airport,45.3224983215332,-75.6691970825195,http://www.ottawa-airport.ca/
YPA,Prince Albert Glass Field,53.2141990662,-105.672996521,
YPC,Paulatuk (Nora Aliqatchialuk Ruben) Airport,69.3608381154,-124.075469971,
YPE,Peace River Airport,56.2268981933594,-117.446998596191,
YPH,Inukjuak Airport,58.4719009399414,-78.0768966674805,
YPL,Pickle Lake Airport,51.4463996887207,-90.2142028808594,
YPM,Pikangikum Airport,51.8196983337402,-93.9732971191406,
YPO,Peawanuck Airport,54.9880981445313,-85.4432983398437,
YPR,Prince Rupert Airport,54.2860984802,-130.445007324,http://www.ypr.ca/
YPW,Powell River Airport,49.8342018127441,-124.5,
YPY,Fort Chipewyan Airport,58.7672004699707,-111.116996765137,
YQB,Quebec Jean Lesage International Airport,46.7911,-71.393303,http://www.aeroportdequebec.com/
YQD,The Pas Airport,53.9714012145996,-101.091003417969,
YQG,Windsor Airport,42.2756004333496,-82.9555969238281,
YQK,Kenora Airport,49.7882995605469,-94.3630981445313,
YQL,Lethbridge County Airport,49.6302986145,-112.800003052,
YQM,Greater Moncton International Airport,46.1122016906738,-64.678596496582,
YQN,Nakina Airport,50.1828002929688,-86.696403503418,
YQQ,Comox Airport,49.7108001708984,-124.887001037598,
YQR,Regina International Airport,50.4319000244141,-104.666000366211,
YQT,Thunder Bay Airport,48.3718986511231,-89.3238983154297,
YQU,Grande Prairie Airport,55.1796989441,-118.885002136,http://www.grandeprairieairport.com/
YQX,Gander International Airport,48.9369010925293,-54.5680999755859,
YQY,Sydney / J.A. Douglas McCurdy Airport,46.1613998413,-60.0477981567,
YQZ,Quesnel Airport,53.0261001586914,-122.51000213623,
YRA,Rae Lakes Airport,64.116096496582,-117.309997558594,
YRB,Resolute Bay Airport,74.7169036865,-94.9693984985,
YRJ,Roberval Airport,48.5200004577637,-72.2656021118164,
YRL,Red Lake Airport,51.0668983459473,-93.793098449707,
YRT,Rankin Inlet Airport,62.8114013672,-92.1157989502,
YSB,Sudbury Airport,46.625,-80.7988967895508,
YSF,Stony Rapids Airport,59.250301361084,-105.841003417969,
YSJ,Saint John Airport,45.3161010742187,-65.8902969360352,
YSK,Sanikiluaq Airport,56.5377998352,-79.2466964722,
YSM,Fort Smith Airport,60.0203018188477,-111.96199798584,
YST,St. Theresa Point Airport,53.8456001281738,-94.8518981933594,
YSY,Sachs Harbour (David Nasogaluak Jr. Saaryuaq) Airport,71.9938964844,-125.242996216,
YTE,Cape Dorset Airport,64.2300033569,-76.5267028809,
YTF,Alma Airport,48.5088996887,-71.6418991089,
YTH,Thompson Airport,55.8011016845703,-97.8641967773438,
YTL,Big Trout Lake Airport,53.817798614502,-89.8968963623047,
YTS,Timmins/Victor M. Power,48.5696983337,-81.376701355,http://portal.timmins.ca/portal/en/timmins/residents/airport
YTZ,Billy Bishop Toronto City Centre Airport,43.627499,-79.396202,http://www.torontoport.com/airport.aspx
YUB,Tuktoyaktuk Airport,69.4332962036133,-133.026000976563,
YUL,Montreal / Pierre Elliott Trudeau International Airport,45.4706001282,-73.7407989502,http://www.admtl.com/passager/Home.aspx
YUT,Repulse Bay Airport,66.5214004517,-86.2247009277,
YUX,Hall Beach Airport,68.7761001587,-81.2425,
YUY,Rouyn Noranda Airport,48.2061004638672,-78.8356018066406,
YVC,La Ronge Airport,55.1514015198,-105.262001038,
YVM,Qikiqtarjuaq Airport,67.5457992554,-64.0314025879,
